GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,RCPTOT,RCPTOT_S,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%)
0100000US,,United States,,31-33,Manufacturing,,2015,11166953,0.1,636503615,0.1,7807966,0.1,15968906,0.1,360741434,0.1,3117562078,0.1,5546997924,0.1,2430098147,0.1,175387681,0.2
0100000US,,United States,,31-33,Manufacturing,,2014,10998862,0.1,616964064,0.1,7729203,0.1,15824594,0.1,350741168,0.1,3505622153,0.1,5887555731,0.1,2387163183,0.1,173849747,0.4
0400000US01,01,Alabama,,31-33,Manufacturing,,2015,233595,0.4,11989358,0.4,175803,0.5,367496,0.5,7732500,0.4,84638237,0.3,129826873,0.3,45183153,0.4,4822551,1.7
0400000US01,01,Alabama,,31-33,Manufacturing,,2014,235165,0.3,11803701,0.3,178098,0.4,369302,0.4,7633509,0.3,89318174,0.2,136023059,0.2,46819809,0.3,5005809,0.9
0400000US02,02,Alaska,,31-33,Manufacturing,,2015,12792,1.9,583687,1.5,10384,2.2,21416,2.6,412048,1.8,3972704,1.4,5806600,1.3,,,129947,2.8
0400000US02,02,Alaska,,31-33,Manufacturing,,2014,12924,1.3,551741,0.8,10458,1.6,21303,1.9,379250,1.3,4987034,0.7,6897888,0.7,,,102491,4.0
0400000US04,04,Arizona,,31-33,Manufacturing,,2015,133777,1.0,8812692,0.8,81624,1.4,164616,1.2,3836970,1.0,25342924,0.5,52939895,0.4,27666976,0.6,990389,4.8
0400000US04,04,Arizona,,31-33,Manufacturing,,2014,135212,1.0,8992177,0.8,81386,1.2,164774,1.2,3896712,1.0,26045439,0.4,54303915,0.3,28375917,0.5,2270217,0.9
0400000US05,05,Arkansas,,31-33,Manufacturing,,2015,150195,0.6,6670885,0.4,120359,0.7,244170,0.6,4731492,0.6,33706428,0.5,59267001,0.9,25467542,1.6,2076542,1.1
0400000US05,05,Arkansas,,31-33,Manufacturing,,2014,148004,0.4,6525006,0.4,119119,0.5,244251,0.4,4657181,0.5,36507119,0.4,62296092,0.5,26088482,1.0,1800357,1.2
0400000US06,06,California,,31-33,Manufacturing,,2015,1123887,0.4,72133368,0.4,715682,0.5,1448314,0.5,33570290,0.4,258332077,0.3,511911764,0.3,253829508,0.3,13983308,1.4
0400000US06,06,California,,31-33,Manufacturing,,2014,1105985,0.4,69332645,0.3,702340,0.4,1423999,0.4,31626402,0.4,286085910,0.2,527768432,0.2,240937700,0.3,14025403,1.2
0400000US08,08,Colorado,,31-33,Manufacturing,,2015,119443,1.2,7188271,1.0,78058,1.5,159258,1.6,3658033,1.3,26762520,0.9,52721855,0.8,25974076,0.8,1508425,4.6
0400000US08,08,Colorado,,31-33,Manufacturing,,2014,116061,1.1,6765522,1.2,77332,1.3,156124,1.4,3503082,1.2,28610129,0.8,53786786,0.7,25431519,0.9,1473307,3.3
