GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,EMPAVPW,PAYANPW,HOURS,CSTMTOT,RCPTOT,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,Number of paid employees for pay period including March 12,Relative standard error of total number of employees (%),"Annual payroll ($1,000)",Production workers avg per year,"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%)
0100000US,,United States,,3272,Glass and glass product manufacturing,,2010,75368,2,3726116,59212,2582150,121433,9155012,20637765,11459904,1,894102,2
0100000US,,United States,,3273,Cement and concrete product manufacturing,,2011,152933,2,6822879,118460,4720907,237756,19227675,38920293,19682481,2,1405867,4
0100000US,,United States,,3273,Cement and concrete product manufacturing,,2010,154203,1,6846218,119090,4702117,238715,19001061,38932181,19971184,2,1612561,2
0100000US,,United States,,3274,Lime and gypsum product manufacturing,,2011,11868,1,647805,9772,479676,19825,2946028,5388446,2468240,2,209399,1
0100000US,,United States,,3274,Lime and gypsum product manufacturing,,2010,12040,1,637098,9789,466286,19197,2788172,5178108,2388358,2,170647,1
0100000US,,United States,,3279,Other nonmetallic mineral product manufacturing,,2011,61238,2,2985243,45201,1885535,90558,8016257,19783494,11904770,1,705540,5
0100000US,,United States,,3279,Other nonmetallic mineral product manufacturing,,2010,61029,2,2867986,45359,1815265,90401,7397078,18475980,11111057,2,582409,7
0100000US,,United States,,331,Primary metal manufacturing,,2011,373911,1,21757554,297005,15623001,618229,185100264,280153236,97934074,1,8096440,3
0100000US,,United States,,331,Primary metal manufacturing,,2010,351863,1,19859225,277642,14140416,572603,152468724,232790545,83832437,1,7183201,1
0100000US,,United States,,3311,Iron and steel mills and ferroalloy manufacturing,,2011,102127,1,7363282,82827,5737346,176673,76982811,115365309,39770253,1,2634243,1
0100000US,,United States,,3311,Iron and steel mills and ferroalloy manufacturing,,2010,96628,1,6604728,77906,5101786,163708,63184059,93477237,31862024,1,3288947,1
0100000US,,United States,,3312,Steel product manufacturing from purchased steel,,2011,40291,3,2192115,31524,1498920,65079,19672264,26770034,7616298,2,1314067,15
